,RECIPE_ID,IRDNT_NM,GROUP,SUBGROUP
872,1839354,"['마요네즈', '후추약간', '파프리카', '참치', '오이피클', '데친브로콜리생략가능', '허니머스타드', '소금', '양상추적당량', '양파', '사과']","['조미료류', '어패류 및 기타 수산물', '채소류', '과실류']","['마요네즈', '파프리카', '브로콜리', '양상추', '겨자', '오이', '소금', '가다랑어', '양파', '후추', '사과']"
873,1646854,"['고추', '비지', '대파약간', '소금', '돼지고기', '신김치']","['두류', '조미료류', '채소류', '육류']","['김치', '고추', '비지', '파', '소금', '돼지고기']"
874,5474246,"['적근대', '레드치커리', '다시마약간', '은이버섯', '문어', '대하']","['해조류', '버섯류', '어패류 및 기타 수산물', '채소류']","['목이버섯', '치커리', '근대', '다시마', '새우', '문어']"
875,708450,"['후춧가루적당량', '대파나쪽파썰은것', '감자중', '소금']","['조미료류', '채소류', '감자 및 전분류']","['감자', '파', '후추', '소금']"
876,1535666,"['간장', '감자적당량', '올리브유', '호박적당량', '쪽파대파적당량', '육수닭or멸치육수', '포도즙', '중력분', '소금']","['조미료류', '유지류', '곡류 및 그 제품', '어패류 및 기타 수산물', '과실류', '채소류']","['파', '호박', '간장', '올리브유', '감자', '밀', '포도즙', '멸치', '소금']"
877,965561,"['설탕', '식용유적당량']","['유지류', '당류']","['설탕', '혼합식물성유']"
878,4081953,"['쌀', '팥소', '참기름or들기름']","['두류', '유지류', '곡류 및 그 제품']","['참기름', '팥', '멥쌀']"
879,4578394,"['식용유약간', '굴비']","['어패류 및 기타 수산물', '유지류']","['혼합식물성유', '조기']"
880,2828054,"['와인', '올리브오일', '양갈비']","['유지류', '주류', '육류']","['포도주', '올리브유', '양고기']"
881,6908241,"['마요네즈', '달걀', '식빵', '파슬리가루약간']","['난류', '조미료류', '곡류 및 그 제품']","['마요네즈', '파슬리', '달걀', '빵']"
882,1065440,"['마요네즈', '빵식빵이나모닝빵등', '피클', '머스터드소스', '참치캔']","['조미료류', '어패류 및 기타 수산물', '채소류', '곡류 및 그 제품']","['마요네즈', '겨자', '빵', '가다랑어', '오이']"
883,2386232,['임연수'],['어패류 및 기타 수산물'],['임연수어']
884,3060622,"['고추', '시판된장', '아욱', '꽃새우건새우/국물새우', '쌀']","['조미료류', '어패류 및 기타 수산물', '채소류', '곡류 및 그 제품']","['고추', '아욱', '된장', '새우', '멥쌀']"
