,RECIPE_ID,IRDNT_NM,GROUP,SUBGROUP
381,1792182,"['올리고당이나꿀', '고추', '고춧가루', '통깨', '참기름', '매실엑기스', '토마토간거']","['당류', '조미료류', '과실류', '채소류', '견과류 및 종실류', '유지류']","['토마토', '물엿', '고추', '고춧가루', '매실', '참기름', '참깨']"
382,1792468,"['멸치다시마국물', '고추', '두부', '된장', '냉이']","['어패류 및 기타 수산물', '두류', '조미료류', '채소류']","['고추', '두부', '멸치', '된장', '냉이']"
383,1802927,"['올리고당', '청경채', '고추', '간장', '고춧가루', '마늘', '포도씨유', '후추가루', '참기름', '파', '매실청', '양배추', '떡볶이떡', '양파', '당근']","['당류', '곡류 및 그 제품', '조미료류', '과실류', '채소류', '유지류']","['물엿', '청경채', '멥쌀떡', '고추', '간장', '고춧가루', '마늘', '포도씨유', '후추', '참기름', '파', '매실청', '양배추', '양파', '당근']"
384,1818637,"['고추', '마늘', '통깨', '참기름', '된장']","['유지류', '조미료류', '채소류', '견과류 및 종실류']","['고추', '마늘', '참기름', '된장', '참깨']"
385,1845698,"['간장', '고추', '설탕', '요리당', '맛술', '쥐포', '마요네즈']","['당류', '어패류 및 기타 수산물', '조미료류', '채소류']","['물엿', '간장', '고추', '설탕', '쥐치', '맛술', '마요네즈']"
386,1845926,"['올리고당', '고추', '간장', '고춧가루', '청주', '마늘', '후춧가루', '설탕', '새송이버섯', '참기름', '파', '깻잎', '양파', '당근']","['당류', '조미료류', '버섯류', '주류', '채소류', '유지류']","['물엿', '고추', '간장', '고춧가루', '청주', '마늘', '설탕', '큰느타리버섯(새송이버섯)', '참기름', '파', '후추', '양파', '당근', '들깻잎']"
387,1864664,"['고추', '고춧가루', '꽃게', '그립홍합', '무', '새우']","['어패류 및 기타 수산물', '조미료류', '채소류']","['고추', '고춧가루', '게', '홍합', '무', '새우']"
388,1877434,"['고추', '마늘', '통깨', '참기름', '비름나물작은묶음']","['유지류', '조미료류', '채소류', '견과류 및 종실류']","['고추', '마늘', '비름', '참기름', '참깨']"
389,1975240,"['물엿', '떡볶이', '간장', '고추', '설탕', '마늘', '어묵', '양배추', '양파']","['당류', '어패류 및 기타 수산물', '조미료류', '조리가공품류', '채소류']","['물엿', '떡볶이', '간장', '고추', '설탕', '마늘', '어묵', '양배추', '양파']"
390,2019598,"['멍게', '식초', '오이', '고추', '통깨', '참기름', '깻잎', '매실청', '쌀', '당근']","['곡류 및 그 제품', '어패류 및 기타 수산물', '조미료류', '과실류', '채소류', '견과류 및 종실류', '유지류']","['멍게', '식초', '오이', '고추', '참기름', '매실청', '참깨', '멥쌀', '당근', '들깻잎']"
391,2336803,"['물엿', '고추', '간장', '설탕', '청주', '마늘', '통깨', '참기름', '오징어채', '마요네즈']","['당류', '어패류 및 기타 수산물', '조미료류', '주류', '채소류', '견과류 및 종실류', '유지류']","['물엿', '고추', '간장', '설탕', '청주', '마늘', '오징어', '참기름', '참깨', '마요네즈']"
392,2395562,"['간장', '고추', '고춧가루', '청주', '마늘', '병어', '감자', '파', '무', '멸치다시마육수', '양파']","['어패류 및 기타 수산물', '조미료류', '감자 및 전분류', '주류', '채소류']","['간장', '고추', '고춧가루', '청주', '마늘', '병어', '감자', '멸치', '파', '무', '양파']"
393,2461334,"['멸치다시마국물', '고추', '간장', '고춧가루', '우럭', '마늘', '애호박', '파', '맛술', '양파']","['어패류 및 기타 수산물', '조미료류', '채소류']","['호박', '고추', '간장', '고춧가루', '마늘', '멸치', '파', '맛술', '볼락', '양파']"
394,2636017,"['물엿', '소금', '고추', '간장', '마늘', '파', '참기름', '맛술', '북어채']","['당류', '조미료류', '수산가공품', '채소류', '유지류']","['물엿', '소금', '고추', '간장', '마늘', '파', '참기름', '맛술', '명태-포(북어)']"
395,3444196,"['깨', '풋마늘', '식초', '소금', '고추', '고춧가루', '올리고당또는물엿', '참기름']","['당류', '곡류 및 그 제품', '조미료류', '채소류', '유지류']","['물엿', '마늘종', '식초', '소금', '고추', '고춧가루', '참기름', '참깨']"
396,3923303,"['깨', '식초', '고추', '고춧가루', '설탕', '마늘', '연겨자', '멸치액젓', '생강즙', '키위', '참기름', '무', '양파']","['당류', '곡류 및 그 제품', '어패류 및 기타 수산물', '조미료류', '과실류', '채소류', '유지류']","['식초', '고추', '고춧가루', '설탕', '마늘', '생강', '키위', '참기름', '겨자', '무', '참깨', '멸치젓', '양파']"
397,4627150,"['깨', '고추', '마늘', '파', '된장', '참기름']","['곡류 및 그 제품', '유지류', '조미료류', '채소류']","['고추', '마늘', '파', '된장', '참기름', '참깨']"
398,5006811,"['올리고당', '고추', '청주', '고춧가루', '마늘', '새송이버섯', '돼지고기', '참기름', '파', '된장', '양파']","['당류', '조미료류', '버섯류', '육류', '주류', '채소류', '유지류']","['물엿', '고추', '청주', '고춧가루', '마늘', '큰느타리버섯(새송이버섯)', '돼지고기', '참기름', '파', '된장', '양파']"
399,5245842,"['호박잎', '고추', '마늘', '다시멸치', '파', '된장', '다시마']","['어패류 및 기타 수산물', '조미료류', '채소류', '해조류']","['호박', '고추', '마늘', '멸치', '파', '된장', '다시마']"
400,5836141,"['올리고당', '식초', '고추', '고춧가루', '마늘', '통깨', '매실액', '파', '파프리카', '쌈다시마', '양파']","['당류', '조미료류', '과실류', '해조류', '채소류', '견과류 및 종실류']","['물엿', '식초', '고추', '고춧가루', '마늘', '매실', '파', '파프리카', '참깨', '다시마', '양파']"
401,6487714,"['들깨가루', '물엿', '식초', '고추', '간장', '설탕', '고춧가루', '마늘', '연겨자', '사이다', '육수', '계란', '들기름', '참기름', '양파', '메밀면']","['당류', '곡류 및 그 제품', '조미료류', '음료류', '육류', '채소류', '난류', '견과류 및 종실류', '유지류']","['물엿', '식초', '고추', '간장', '설탕', '고춧가루', '마늘', '소고기', '들깨', '메밀 국수', '들기름', '참기름', '겨자', '탄산 음료', '달걀', '양파']"
402,6526433,"['주키니호박', '칼국수면', '간장', '고추', '감자', '된장', '양파']","['감자 및 전분류', '곡류 및 그 제품', '조미료류', '채소류']","['호박', '간장', '고추', '감자', '된장', '칼국수', '양파']"
403,6679835,"['함초', '소금', '고추', '마늘', '통깨', '파', '참기름', '매실청', '고춧잎']","['조미료류', '과실류', '채소류', '견과류 및 종실류', '유지류']","['퉁퉁마디(함초)', '소금', '고추', '마늘', '파', '참기름', '매실청', '참깨', '고춧잎']"
404,6693607,"['올리고당', '고추', '미나리', '설탕', '마늘', '생강', '쪽파식초', '양파']","['당류', '조미료류', '채소류']","['물엿', '식초', '고추', '미나리', '설탕', '마늘', '생강', '양파']"
405,6833989,"['사과식초', '고추', '고춧가루', '설탕', '마늘', '파']","['당류', '조미료류', '채소류']","['식초', '고추', '고춧가루', '설탕', '마늘', '파']"
406,6835564,"['간장', '고추', '고춧가루', '설탕', '마늘', '맛술']","['당류', '조미료류', '채소류']","['간장', '고추', '고춧가루', '설탕', '마늘', '맛술']"
407,6858030,"['고추', '간장', '고춧가루', '설탕', '마늘', '돼지고기', '파', '양파', '김치']","['당류', '육류', '조미료류', '채소류']","['고추', '간장', '고춧가루', '설탕', '마늘', '돼지고기', '파', '양파', '김치']"
408,6872974,"['물엿', '생강가루', '간장', '고추', '고춧가루', '설탕', '생강', '장어']","['당류', '어패류 및 기타 수산물', '조미료류', '채소류']","['물엿', '간장', '고추', '고춧가루', '설탕', '생강', '장어']"
409,6880119,"['올리고당', '고추', '와사비', '쥐포', '마요네즈']","['당류', '어패류 및 기타 수산물', '조미료류', '채소류']","['물엿', '고추냉이', '고추', '쥐치', '마요네즈']"
410,6884787,"['소금', '고추', '쇠고기', '식용유', '조청물엿', '깐마늘', '후추']","['당류', '조미료류', '육류', '채소류', '유지류']","['소금', '고추', '조청', '소고기', '마늘', '혼합식물성유', '후추']"
411,6897466,"['간장', '고추', '고춧가루', '매실청', '삼겹살']","['과실류', '육류', '조미료류', '채소류']","['간장', '고추', '고춧가루', '돼지고기', '매실청']"
